,not spent,sold,total,expected end
2024-02-14,2.365991272,1.597383,3.963374272,2041-05-22
2024-02-15,3.384366892,2.130759,9.478500164,2038-07-25
2024-02-16,2.611642134,0.7763885999999999,12.866530898,2040-01-30
2024-02-17,1.453871129,0.2219904,14.542392427,2042-12-12
2024-02-18,2.397012904,0.75841422,17.697819551000002,2043-06-17
2024-02-19,2.905875273,0.3590945999999999,20.962789424,2043-09-17
2024-02-20,3.3666471709999994,2.7724229999999994,27.101859595,2041-10-19
2024-02-21,3.606722957,2.5746066,33.283189152,2040-07-28
2024-02-22,0.859977655,0.0383939999999999,34.181560807,2042-02-21
2024-02-23,5.100702838999999,4.482451799999999,43.764715446,2039-10-05
2024-02-24,3.019868571,3.7924074,50.576991417,2039-01-03
2024-02-25,3.432801944,3.75884199,57.76863535099999,2038-05-04
2024-02-26,3.265401129,1.101519,62.13555548,2038-06-10
